split,spk,titulo,clip,n_frames,texto,npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0014,110,es espectacular y deberian ir a montreal por favor,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0014.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0015,165,bueno les cuento ni bien llegaba al hotel donde me estaba quedando en montreal con mis amigos,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0015.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0016,160,yo entraba primero mis amigos se quedaron agarraron todas sus valijas y todo,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0016.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0017,140,mientras yo estaba entrando al hotel para subir al lobby y hacer el checkin y todo,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0017.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0018,127,entro al ascensor y entran dos personas mas,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0018.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0019,99,dos tipos que se veian como que si fuesen amigos,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0019.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0020,119,hablando en frances nada mas no completamente en frances,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0020.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0021,156,quebecois de quebec y yo ahi tranquilo solito,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0021.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0022,167,no pasaba nada y empece a darme cuenta de que estos pibes estos tipos,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0022.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0023,118,estaban burlando de mi y me estaba dando cuenta de eso,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0023.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0024,118,dije para un poco se estan burlando de mi,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0024.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0025,130,esto no es justo y mientras yo trataba de entender,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0025.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0026,152,no entendia nada me veian se reian de mi,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0026.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0027,88,como que uno hizo asi me tocaba,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0027.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0028,187,no y yo en ese momento dije para que pasa porque escuche la palabra americano,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0028.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0029,198,o no se algo asi y dije estos tipos saben y piensan y se estan burlando de mi,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0029.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0030,207,porque soy de estados unidos no y dije les voy a pegar con una noticia,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0030.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0031,135,y les voy a mentir y ver su reaccion entonces yo,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0031.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0032,155,de repente como que me tocaban y dije para no entiendo lo que me estas diciendo,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0032.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0033,130,hablame en castellano y no sabes como le cambiaron,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0033.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0034,202,no sabes como les cambio la cara como que dijo eh where are you from,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0034.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0035,121,y yo yo soy de argentina que queres me dijo argentina,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0035.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0036,118,messi oh como esta le cambio su actitud,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0036.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0037,87,y me dijo por completo al cien por ciento,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0037.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0038,104,y de repente como en dos segundos eramos amigos no,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0038.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0039,80,y empezaron a hablar conmigo y a todo,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0039.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0040,147,al grano no les dije que soy de estados unidos seguia con mi mentira,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0040.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0041,117,diciendo si soy de argentina y que estoy aca de visita,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0041.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0042,115,y todo y ahi fue cuando dije mira vos,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0042.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0043,86,que bien que aprendi español porque primero,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0043.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0044,192,cualquier otra persona se iba a enojar cualquier otra persona iba a tener una situacion medio complicada,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0044.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0045,210,pero al decirles que yo soy de argentina como que de repente yo era como su amigo,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0045.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0046,212,y querian saber un poco mas de mi querian saber un poco mas de argentina y fue genial fue super super genial,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0046.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0047,106,yo creo que conte esta anecdota en otro video en otro live que hice hace mucho tiempo,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0047.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0048,307,pero esta anecdota queria destacar en este video porque debe servir como inspiracion para los que no hablan en español,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0048.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0049,201,si estas en una situacion donde no sabes que hacer podes decir que si si hablo español soy de argentina,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0049.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0050,93,y por ahi te puede llegar a servir a mi me sirvio un monton claro,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0050.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0051,137,natalia dice alto chamuyo si chamuyo,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0051.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0052,217,si un monton y funciono como que todas mis clases de chamuyo que aprendi en argentina sirvieron un monton un monton,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0052.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0053,281,asi que poder hablar en español me cambio la vida al 100 hay varias anecdotas que tengo para contarles,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0053.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0054,222,pero yo les queria contar esto porque tambien esta bueno ver como,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0054.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0055,231,los ven a los mismos argentinos en el mundo no como que en ese momento el estadounidense no servia y era como el chiste,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0055.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0056,158,pero el argentino si era el capo el argentino era como que querian saber mas querian ser amigos,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0056.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0057,121,y no se como que me causo mucha gracia esa anecdota,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0057.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0058,152,obviamente se los conte a mis amigos que estaban quedandose conmigo en el hotel y todo,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0058.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0059,144,y no se y bueno pero bueno eso es una anecdota,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0059.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0060,91,tengo otras anecdotas que creo que voy a contar en otro video tambien,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0060.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0061,98,pero bueno terminando con este video queria hablar un poco mas con ustedes,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0061.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0062,112,porque se que hay varios que siempre estan aca en este chat conmigo todos los dias,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0062.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0063,150,de hecho cuando subi un video recien todos me decian yo te voy a esperar,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0063.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0064,117,porque me iba a dormir en este momento pero te espero porque se que vas a hacer un live,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0064.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0065,117,ana ortiz creo que fuiste vos y otras personas mas,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0065.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0066,88,daniel daniel que haces yo what up man,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0066.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0067,100,donde esta el equipo kaka,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0067.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0068,125,todos que tienen el emoji de kaka al lado de su nombre vamos arriba,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0068.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0069,170,vamos yo los veo aca estudiando vanessa como andas,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0069.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0070,230,que lindo verte aca ah leo     le respondo a esta pregunta a sebastian aguero,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0070.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0071,110,te gustaria tener hijos argentinos yo creo que si,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0071.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0072,99,obviamente o sea argentina tiene toda una historia en mi vida,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0072.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0073,248,me ha marcado como persona me identifico mucho con los argentinos con la cultura y como hablan y todo,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0073.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0074,100,pero bueno como que teniendo cualquier hijo,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0074.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0075,177,me encantaria tener un hijo que sea bilingue o trilingue creo que mi hijo o hija va a tener que ser trilingue,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0075.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0076,191,yo fui bilingue y hay que mejorar siempre pero buena pregunta buena pregunta,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0076.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0077,88,otra persona hoy me mando una pregunta diciendo,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0077.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0078,98,che sos ya sos grande dustin,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0078.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0079,119,tenes 35 años por que no tenes hijos todavia por que no estas casado,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0079.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0080,153,por que no tenes novia creo que voy a hacer otro video respondiendo a esa pregunta,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0080.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0081,132,y si me seguis si sos fiel a este canal seguramente sabes la respuesta,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0081.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0082,143,porque lo he contado un par de veces pero que onda a ustedes,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0082.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0083,154,se que en argentina en este momento ya es tarde ya son las once y media creo,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0083.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0084,95,o o o que hora es alla,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0084.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0085,179,ya si once y media,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0085.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0086,155,que hacen despiertos que hacen por ahi vieron el video que hice sobre el curupi recien,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0086.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0087,137,que loco no que loco que son las culturas distintas,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0087.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0088,140,en paraguay tienen toda esa mitologia que es super interesante,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0088.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0089,161,y creo que tiene como un mensaje lindo pero es como una forma distinta de tener ese mensaje,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0089.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0090,127,un saludo enorme un beso enorme para todos los que me siguen desde paraguay,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0090.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0091,217,los paraguayos son unos genios creo que ayer o justo,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0091.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0092,141,ah claro ayer en el live cuando estaba hablando de que muchos latinos,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0092.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0093,123,cuando encuentran con un argentino en la calle o se presentan con un argentino,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0093.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0094,132,ya arrancan con una preconcepcion y al tener esa preconcepcion,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0094.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0095,112,por ahi le vas a caer mal a esa persona y no hay que entrar asi,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0095.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0096,97,lo mismo pasa con los argentinos contra los paraguayos,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0096.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0097,90,creo que un argentino va a paraguay y ya tiene una preconcepcion,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0097.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0098,162,y al tener eso como que la interaccion la onda y todo no va a ser lo mismo,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0098.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0099,122,hay que entrar con una mente abierta y todas las cosas van a fluir,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0099.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0100,149,y van a salir bien pero en este momento estoy como muy agachado,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0100.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0101,189,no sabes como me duelen los pies en este momento pero queria saludarles un poco mas antes de que me vaya,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0101.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0102,267,y decirles que los quiero mucho y que todo esto de subir videos todos los dias me esta resultando super bien,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0102.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0103,250,porque puedo estar un rato con ustedes todos los dias acabo de comprar un tripode que me va a permitir caminar con ese tripode,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0103.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0104,105,y poder como mostrar un poco mas y mostrar mas de la calle no,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0104.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0105,105,hay un lugar en los angeles que se llama santa monica,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0105.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0106,115,y tiene como todo un pier es como tipo un puentecito,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0106.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0107,102,no se como se llama en castellano pero despues les voy a mostrar eso,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0107.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0108,108,no se como va a ser el tema del viento pero bueno vamos a ver,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0108.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0109,88,bueno un muelle tal cual un muelle,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0109.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0110,89,bueno me duelen un monton mis pies me tengo que ir,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0110.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0111,112,tambien me invitaron a una cena aca asi que claro aca son las 740,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0111.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0112,105,alla son casi las 12 a ustedes los quiero mucho,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0112.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0113,86,y mañana nos vemos nos vemos en otro live,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0113.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0114,124,dale flavia te quiero mucho ana te quiero mucho,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0114.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0115,112,pau hasta la mañana te quiero lucas chau,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0115.npz
