dataset_group,source_id,clip_id,clip_name,model_role,model_name,device,compute_type,audio_path,audio_gcs_path,transcript_path,transcript_gcs_path,text,language,duration,status,notes
argentina/existing,f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0004,clip_0004,large,large-v3,cuda,float16,/home/bianc/labios-full-clean-release/data_release/work/existing_reconstruction/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/reconstructed_audio/clip_0004.wav,gs://labios-argentos-vsr-clean-v1/argentina/existing/reconstructed_audio/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0004.wav,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0004.txt,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0004.txt,empezar por el principio obviamente para que entiendan bien la historia cómo fue qué pasó con quién estaba qué edad tenía cuando actualmente no me voy de vacaciones mucho con familias y cada,es,9.32,completed_asr,
argentina/existing,f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0005,clip_0005,large,large-v3,cuda,float16,/home/bianc/labios-full-clean-release/data_release/work/existing_reconstruction/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/reconstructed_audio/clip_0005.wav,gs://labios-argentos-vsr-clean-v1/argentina/existing/reconstructed_audio/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0005.wav,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0005.txt,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0005.txt,tanto un momento del verano capaz coincidimos están mis abuelos a mi mamá o mi papá mi hermano y es porque bueno pasó el tiempo soy más grande no vacacionamos en familia todos juntos a,es,10.46,completed_asr,
argentina/existing,f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0006,clip_0006,large,large-v3,cuda,float16,/home/bianc/labios-full-clean-release/data_release/work/existing_reconstruction/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/reconstructed_audio/clip_0006.wav,gs://labios-argentos-vsr-clean-v1/argentina/existing/reconstructed_audio/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0006.wav,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0006.txt,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0006.txt,"voy con amigos, así que cuando yo era chiquitito estoy hablando de cuando tenía menos de 10 años era un momento que íbamos de vacaciones todo el tiempo con mi familia y uno de nuestros lugares favoritos para ir a vacaciones",es,10.311,completed_asr,
argentina/existing,f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0008,clip_0008,large,large-v3,cuda,float16,/home/bianc/labios-full-clean-release/data_release/work/existing_reconstruction/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/reconstructed_audio/clip_0008.wav,gs://labios-argentos-vsr-clean-v1/argentina/existing/reconstructed_audio/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0008.wav,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0008.txt,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0008.txt,país de argentina así que en ese momento con mi familia íbamos todo el tiempo y la verdad que me encantaba y yo en ese momento no tenía mi hermano yo era chiquitito mi hermano todavía no existía,es,9.769,completed_asr,
argentina/existing,f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0009,clip_0009,large,large-v3,cuda,float16,/home/bianc/labios-full-clean-release/data_release/work/existing_reconstruction/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/reconstructed_audio/clip_0009.wav,gs://labios-argentos-vsr-clean-v1/argentina/existing/reconstructed_audio/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0009.wav,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0009.txt,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0009.txt,momento se empezó a sumar a estas vacaciones estos viajes mi tío acá es cuando aparece en la historia en la anécdota y porque casi muere un día no bueno resulta que mi tío se empezó a,es,9.59,completed_asr,
argentina/existing,f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0013,clip_0013,large,large-v3,cuda,float16,/home/bianc/labios-full-clean-release/data_release/work/existing_reconstruction/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/reconstructed_audio/clip_0013.wav,gs://labios-argentos-vsr-clean-v1/argentina/existing/reconstructed_audio/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0013.wav,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0013.txt,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0013.txt,acostumbramos a hacer muchas excursiones nos encantaba porque bueno había que recorrer el lugar así que me acuerdo perfecto el día de este accidente que excursión teníamos ese día habíamos,es,10.729,completed_asr,
argentina/existing,f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0019,clip_0019,large,large-v3,cuda,float16,/home/bianc/labios-full-clean-release/data_release/work/existing_reconstruction/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/reconstructed_audio/clip_0019.wav,gs://labios-argentos-vsr-clean-v1/argentina/existing/reconstructed_audio/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0019.wav,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0019.txt,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0019.txt,acuerdo perfecto así que fuimos y comimos un montón de tortas fritas que puede parecer un dato boludo esto un dato innecesario pero no es importante para que entiendas qué pasó con mi tío en el final de esta historia así que,es,10.971,completed_asr,
argentina/existing,f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0021,clip_0021,large,large-v3,cuda,float16,/home/bianc/labios-full-clean-release/data_release/work/existing_reconstruction/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/reconstructed_audio/clip_0021.wav,gs://labios-argentos-vsr-clean-v1/argentina/existing/reconstructed_audio/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0021.wav,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0021.txt,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0021.txt,duchita estamos cansados la verdad tuvimos todo el día en la calle haciendo expulsiones que trepaba la montaña que esto que lo otro te re cansaba estamos cansados eran como,es,7.82,completed_asr,
argentina/existing,f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0022,clip_0022,large,large-v3,cuda,float16,/home/bianc/labios-full-clean-release/data_release/work/existing_reconstruction/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/reconstructed_audio/clip_0022.wav,gs://labios-argentos-vsr-clean-v1/argentina/existing/reconstructed_audio/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0022.wav,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0022.txt,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0022.txt,padres dicen hey la verdad ni ganas de cocinar estuvimos todo el día la calle una paja tremenda porque no vamos a comprar a un supermercado compremos comida lista así que nos vamos,es,8.96,completed_asr,
argentina/existing,f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0028,clip_0028,large,large-v3,cuda,float16,/home/bianc/labios-full-clean-release/data_release/work/existing_reconstruction/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/reconstructed_audio/clip_0028.wav,gs://labios-argentos-vsr-clean-v1/argentina/existing/reconstructed_audio/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0028.wav,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0028.txt,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0028.txt,"He comido como tres empanadas fritas. Una mezcla tremenda, mucho frito. Y esto iba a terminar mal, eh. Boludeamos un rato, pusimos la tele, que una película, que no sé qué. Está hacia la hora de dormir, tipo 12.",es,11.27,completed_asr,
argentina/existing,f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0030,clip_0030,large,large-v3,cuda,float16,/home/bianc/labios-full-clean-release/data_release/work/existing_reconstruction/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/reconstructed_audio/clip_0030.wav,gs://labios-argentos-vsr-clean-v1/argentina/existing/reconstructed_audio/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0030.wav,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0030.txt,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0030.txt,bien y vieron cuando ustedes empiezan a soñar que no sé qué les está pasando algo y se les mezcla con el sueño o por ejemplo te estás haciendo pis realmente tomaste mucha agua y te fuiste a dormir,es,9.41,completed_asr,
argentina/existing,f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0034,clip_0034,large,large-v3,cuda,float16,/home/bianc/labios-full-clean-release/data_release/work/existing_reconstruction/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/reconstructed_audio/clip_0034.wav,gs://labios-argentos-vsr-clean-v1/argentina/existing/reconstructed_audio/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0034.wav,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0034.txt,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0034.txt,"Todo, no la apunté al inodoro Y terminé cagando todo el piso Y esto no se queda acá, lo que había hecho Me dio más asco de lo que ya tenía Y sin darme cuenta, pum, un vomitazo tremendo Ahí en el piso",es,10.249,completed_asr,
argentina/existing,f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0035,clip_0035,large,large-v3,cuda,float16,/home/bianc/labios-full-clean-release/data_release/work/existing_reconstruction/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/reconstructed_audio/clip_0035.wav,gs://labios-argentos-vsr-clean-v1/argentina/existing/reconstructed_audio/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0035.wav,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0035.txt,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0035.txt,"Y yo con 10 años bien sincero sentado en ese inodoro dije Acabo de cagar, acabo de vomitar Y ya me siento bien No, no me siento mal Dije, me siento bien Me levanté cuidadosamente Y dije, bueno, chao",es,11.391,completed_asr,
argentina/existing,f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0037,clip_0037,large,large-v3,cuda,float16,/home/bianc/labios-full-clean-release/data_release/work/existing_reconstruction/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/reconstructed_audio/clip_0037.wav,gs://labios-argentos-vsr-clean-v1/argentina/existing/reconstructed_audio/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0037.wav,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0037.txt,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0037.txt,a dormir tranquilo. Pero no avisé nada y había dejado el baño todo cagado y todo vomitado. Así que estaba durmiendo lo más bien. Cuando de repente me despierto por un grito.,es,13.3,completed_asr,
argentina/existing,f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0038,clip_0038,large,large-v3,cuda,float16,/home/bianc/labios-full-clean-release/data_release/work/existing_reconstruction/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/reconstructed_audio/clip_0038.wav,gs://labios-argentos-vsr-clean-v1/argentina/existing/reconstructed_audio/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0038.wav,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0038.txt,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0038.txt,"cortina de la ducha, cosas cayéndose así que me levanto de la cama y también escucho a mi mamá, a mi papá cagándose de risa",es,7.46,completed_asr,
